county,agingIndex2020,agingIndex2021,agingIndex2022,agingIndex2023,agingIndex2024,agingIndex2025,agingIndexPointChange20to25,agingIndexPctChange20to25,seniorAbsoluteChange,childrenAbsoluteChange
Ravalli,146.4,146.2,148.1,153.6,159.8,163.2,16.8,11.48,2131,429
Silver Bow,102.5,104.5,107.8,110.9,116.6,120.4,17.9,17.49,930,-285
Missoula,90.8,94.8,98.2,102.8,107,111.5,20.7,22.81,3482,-1117
Lewis and Clark,90.7,94.4,97.4,100,104.4,109.8,19,20.95,2747,-164
Flathead,98.2,99.4,99.7,101.8,105.5,109,10.8,10.98,4064,1452
Cascade,85.8,88.4,91,93.8,96.8,98.6,12.8,14.87,1683,-737
Yellowstone,77.6,79.5,82,85.6,89,92.6,15,19.27,5213,-533
Gallatin,68.1,70.9,74,77.2,80.3,84.3,16.2,23.76,3279,-603
Montana,92.7,95.5,98,101.7,105.6,109.5,16.8,18.11,36561,-2538
