county,totalAbsoluteChange,totalPctChange,maleAbsoluteChange,malePctChange,femaleAbsoluteChange,femalePctChange
Montana,-2538,-1.08,-1703,-1.42,-835,-0.73
Yellowstone County,-533,-1.4,-335,-1.71,-198,-1.06
Gallatin County,-603,-2.58,-184,-1.56,-419,-3.6
Missoula County,-1117,-4.89,-646,-5.52,-471,-4.23
Flathead County,1452,6.31,543,4.54,909,8.22
Cascade County,-737,-3.9,-433,-4.42,-304,-3.34
Lewis and Clark County,-164,-1.07,-94,-1.2,-70,-0.92
Ravalli County,429,5.04,245,5.49,184,4.54
Silver Bow County,-285,-4.01,-181,-4.89,-104,-3.06
Lake County,-289,-4.02,-125,-3.45,-164,-4.59
Lincoln County,362,9.86,193,10.27,169,9.44
