county,totalAbsoluteChange,totalPctChange,maleAbsoluteChange,malePctChange,femaleAbsoluteChange,femalePctChange
Beaverhead County,-112,-6.26,-100,-10.78,-12,-1.39
Big Horn County,-507,-11.65,-269,-12,-238,-11.27
Blaine County,-223,-10.88,-138,-13.29,-85,-8.41
Broadwater County,367,25.59,153,20.54,214,31.06
Carbon County,62,3.18,26,2.67,36,3.7
Carter County,-19,-6.05,4,2.44,-23,-15.33
Cascade County,-737,-3.9,-433,-4.42,-304,-3.34
Chouteau County,-158,-11.17,-76,-10.48,-82,-11.9
Custer County,-82,-3.15,-43,-3.22,-39,-3.07
Daniels County,-31,-8.49,-40,-19.42,9,5.66
Dawson County,-76,-3.95,-14,-1.41,-62,-6.65
Deer Lodge County,-61,-4.14,-33,-4.51,-28,-3.77
Fallon County,-64,-8.04,29,7.65,-93,-22.3
Fergus County,124,5.21,44,3.49,80,7.13
Flathead County,1452,6.31,543,4.54,909,8.22
Gallatin County,-603,-2.58,-184,-1.56,-419,-3.6
Garfield County,-6,-2.12,7,5.11,-13,-8.9
Glacier County,-460,-10.8,-299,-13.73,-161,-7.73
Golden Valley County,24,16.9,2,2.7,22,32.35
Granite County,-46,-7.53,-32,-9.44,-14,-5.15
Hill County,-110,-2.46,-111,-4.93,1,0.05
Jefferson County,132,5.23,69,5.34,63,5.11
Judith Basin County,1,0.25,-5,-2.42,6,3.14
Lake County,-289,-4.02,-125,-3.45,-164,-4.59
Lewis and Clark County,-164,-1.07,-94,-1.2,-70,-0.92
Liberty County,26,5.87,12,5.66,14,6.06
Lincoln County,362,9.86,193,10.27,169,9.44
McCone County,-13,-3.62,-1,-0.56,-12,-6.7
Madison County,171,12.07,102,14.03,69,10
Meagher County,12,3.46,10,5.35,2,1.25
Mineral County,25,2.91,45,10.3,-20,-4.74
Missoula County,-1117,-4.89,-646,-5.52,-471,-4.23
Musselshell County,224,23.7,149,30.6,75,16.38
Park County,72,2.47,48,3.17,24,1.71
Petroleum County,16,21.62,8,23.53,8,20
Phillips County,-5,-0.52,7,1.44,-12,-2.52
Pondera County,-16,-1.15,-25,-3.44,9,1.34
Powder River County,44,14.72,37,26.43,7,4.4
Powell County,70,6.86,28,5.39,42,8.38
Prairie County,16,7.73,7,6.19,9,9.57
Ravalli County,429,5.04,245,5.49,184,4.54
Richland County,-111,-3.92,-73,-5.06,-38,-2.73
Roosevelt County,-269,-7.74,-158,-8.82,-111,-6.59
Rosebud County,-45,-1.94,-35,-2.94,-10,-0.89
Sanders County,129,5.91,40,3.53,89,8.48
Sheridan County,-81,-10.84,-36,-9,-45,-12.97
Silver Bow County,-285,-4.01,-181,-4.89,-104,-3.06
Stillwater County,78,4.16,63,6.54,15,1.64
Sweet Grass County,-99,-13.36,-60,-15.54,-39,-10.99
Teton County,54,3.61,42,5.64,12,1.6
Toole County,74,7.32,32,6.19,42,8.5
Treasure County,-11,-6.32,-5,-6.02,-6,-6.59
Valley County,-138,-7.99,-84,-9.46,-54,-6.43
Wheatland County,-34,-7.14,-17,-6.75,-17,-7.59
Wibaux County,3,1.56,4,4.17,-1,-1.04
Yellowstone County,-533,-1.4,-335,-1.71,-198,-1.06
